level,decimal_acuity,scale_vs_5_0,outer_mm,native_px,css_px_at_dpr_2,stroke_native_px,archive_px,usage
4.0,0.1000,10.0000,29.089,256.53,128.27,51.31,257,scored
4.1,0.1259,7.9433,23.106,203.77,101.89,40.75,204,scored
4.2,0.1585,6.3096,18.354,161.86,80.93,32.37,162,scored
4.3,0.1995,5.0119,14.579,128.57,64.29,25.71,129,scored
4.4,0.2512,3.9811,11.580,102.13,51.06,20.43,102,scored
4.5,0.3162,3.1623,9.199,81.12,40.56,16.22,81,scored
4.6,0.3981,2.5119,7.307,64.44,32.22,12.89,64,start
4.7,0.5012,1.9953,5.804,51.18,25.59,10.24,51,scored
4.8,0.6310,1.5849,4.610,40.66,20.33,8.13,41,scored
4.9,0.7943,1.2589,3.662,32.30,16.15,6.46,32,scored
5.0,1.0000,1.0000,2.909,25.65,12.83,5.13,26,scored
5.1,1.2589,0.7943,2.311,20.38,10.19,4.08,20,scored
5.2,1.5849,0.6310,1.835,16.19,8.09,3.24,16,scored_cap
5.3,1.9953,0.5012,1.458,12.86,6.43,2.57,13,exploratory_only

